Sr. No.,Company,BSE Code
1,Reliance Industries Ltd,500325
2,HDFC Bank Ltd.,500180
3,Tata Consultancy Services Ltd.,532540
4,Bharti Airtel  Ltd.,532454
5,ICICI Bank Ltd.,532174
6,State Bank Of India,500112
7,Infosys Ltd,500209
8,Hindustan Unilever Ltd.,500696
9,Bajaj Finance Limited,500034
10,LIFE INSURANCE CORPORATION OF INDIA,543526
11,ITC Ltd,500875
12,Larsen & Toubro Limited,500510
13,HCL Technologies Ltd,532281
14,Kotak Mahindra Bank Ltd.,500247
15,Maruti Suzuki India  Ltd.,532500
16,Sun Pharmaceutical Industries Ltd.,524715
17,Mahindra & Mahindra Ltd.,500520
18,UltraTech Cement Ltd,532538
19,AXIS Bank Ltd.,532215
20,NTPC Limited,532555
21,Bajaj Finserv Limited,532978
22,Hindustan Aeronautics Limited,541154
23,Titan Company Limited,500114
24,Oil And Natural Gas Corporation Ltd,500312
25,Adani Ports and Special Economic Zone Ltd,532921
26,Adani Enterprises Ltd.,512599
27,Avenue Supermarts Limited,540376
28,POWER GRID CORPORATION OF INDIA LIMITED,532898
29,Bharat Electronics Ltd.,500049
30,Wipro  Ltd.,507685
31,Eternal Limited,543320
32,JSW Steel Limited,500228
33,Tata Motors Ltd.,500570
34,Coal India Limited,533278
35,Bajaj Auto Limited,532977
36,Asian Paints Ltd.,500820
37,Nestle India Ltd.,500790
38,Adani Power Limited,533096
39,InterGlobe Aviation Limited,539448
40,Indian Oil Corporation Ltd.,530965
41,TATA STEEL LIMITED,500470
42,Trent Ltd [Lakme Ltd],500251
43,DLF LIMITED,532868
44,Hindustan Zinc Ltd.,500188
45,Jio Financial Services Limited,543940
46,Grasim Industries Ltd,500300
47,SBI Life Insurance Company Limited,540719
48,Vedanta Limited,500295
49,Indian Railway Finance Corporation,543257
50,HYUNDAI MOTOR INDIA LIMITED,544274
51,Divi's Laboratories Ltd.,532488
52,Varun Beverages Limited,540180
53,HDFC LIFE INSURANCE COMPANY LIMITED,540777
54,Eicher Motors Ltd.,505200
55,Adani Green Energy Limited,541450
56,Pidilite Industries Ltd.,500331
57,Hindalco Industries Ltd.,500440
58,LTIMindtree Limited,540005
59,Tech Mahindra Limited,532755
60,Bajaj Holdings & Investment Limited,500490
61,Ambuja Cements Ltd.,500425
62,TVS Motor Company Ltd.,532343
63,Bharat Petroleum Corpn. Ltd.,500547
64,Britannia Industries Ltd.,500825
65,Power Finance Corporation Ltd,532810
66,Solar Industries India Limited,532725
67,Lodha Developers Limited,543287
68,Cholamandalam Investment and Finance Company Ltd,511243
69,Godrej Consumer Products Ltd.,532424
70,Tata Power Co. Ltd,500400
71,Bank Of Baroda,532134
72,Cipla Ltd.,500087
73,Shriram Finance Limited,511218
74,Punjab National Bank,532461
75,Gail (India) Ltd.,532155
76,Mazagon Dock Shipbuilders Limited,543237
77,ABB India Limited,500002
78,Max Healthcare Institute Limited,543220
79,Torrent Pharmaceuticals Ltd.,500420
80,Siemens Energy India Limited,544390
81,Siemens Ltd.,500550
82,Shree Cements Ltd.,500387
83,Indian Hotels Co. Ltd,500850
84,HDFC Asset Management Company Limited,541729
85,TATA CONSUMER PRODUCTS LIMITED,500800
86,CG Power and Industrial Solutions Limited,500093
87,Apollo Hospitals Enterprises Ltd.,508869
88,REC LIMITED,532955
89,Union Bank of India,532477
90,Dr. Reddy's Laboratories Ltd.,500124
91,United Spirits Limited,532432
92,Samvardhana Motherson International Limited,517334
93,Adani Energy Solutions Limited,539254
94,Mankind Pharma Limited,543904
95,Bosch Ltd,500530
96,MUTHOOT FINANCE LIMITED,533398
97,INDUS TOWERS LIMITED,534816
98,Bajaj Housing Finance Limited,544252
99,Canara Bank,532483
100,IDBI Bank Ltd,500116
101,JINDAL STEEL LIMITED,532286
102,Havells India Limited,517354
103,Polycab India Limited,542652
104,Dixon Technologies (India) Limited,540699
105,Zydus Lifesciences Limited,532321
106,Cummins India Ltd.,500480
107,ICICI Lombard General Insurance Company Limited ,540716
108,SWIGGY LIMITED,544285
109,GMR Airports Limited,532754
110,Marico Limited,531642
111,Info Edge(India) Ltd.,532777
112,Lupin Ltd,500257
113,JSW Energy Limited,533148
114,ICICI Prudential Life Insurance Company Limited,540133
115,Hero MotoCorp Limited,500182
